;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
2077;"
 ул. Авиаторов, 20
 ";145702.0;22036.968362277057;0.15124684878915223;True;Дом 1987 года;17 этажейПанельное зданиеЦентральное отопление2,64 м потолки408 квартирЛифтМусоропровод
2078;"
 Октябрьский пер., 12
 ";0.0;0.0;0.0;False;"
 Октябрьский пер., 12
 ";"
 Октябрьский пер., 12
 "
2079;"
 Шоссейная ул., 70к2
 ";157004.73076923078;16532.55032575642;0.10529969539616196;True;Дом 1978 года;14 этажейБлочное здание2,64 м потолки98 квартирГаза нетЛифтМусоропровод
2080;"
 Алтайская ул., 21
 ";159077.75;17885.797619549987;0.11243431353253354;True;Дом 2004 года;17 этажейПанельное зданиеЦентральное отопление2,70 м потолки201 квартираГаза нетЛифтМусоропровод
2081;"
 Сиреневый б-р, 3к5
 ";159907.625;23551.545204813527;0.14728218998195694;True;Дом 1967 года;9 этажейПанельное здание2,64 м потолки138 квартирЛифтМусоропровод
2082;"
 6-я Радиальная ул., 3к10
 ";165352.125;27115.730887427228;0.16398779808500935;True;Дом 2014 года;11 этажейМонолитное зданиеЦентральное отопление2,70 м потолки278 квартирГаза нетЛифтМусоропровод
2083;"
 Новгородская ул., 10к1
 ";179980.67647058822;14047.196110676297;0.07804835711333621;True;Дом 1978 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки127 квартирГаза нетЛифтМусоропровод
2084;"
 Совхозная ул., 16
 ";144336.65;17792.26478494236;0.12326920976025396;True;Дом 1970 года;9 этажейПанельное здание128 квартирГазЛифтМусоропровод
2085;"
 ул. Багрицкого, 1
 ";191067.425;34620.90862750969;0.1811973371573396;True;Дом 1970 года;12 этажейПанельное здание2,64 м потолкиЛифтМусоропровод
2086;"
 Минская ул., 8к1
 ";182853.58823529413;25852.048743614396;0.14138113992244025;True;Дом 1960 года;5 этажейКирпичное зданиеЦентральное отопление2,80 м потолки84 квартирыГазЛифт отсутствуетМусоропровода нет
2087;"
 Профсоюзная ул., 130к1
 ";176726.2;21134.48028010152;0.1195888344801253;True;Дом 1972 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки287 квартирГаза нетЛифтМусоропровод
2088;"
 4-й Новомихалковский пр., 6
 ";179204.55;30816.016867004404;0.17196001366597224;True;Дом 1970 года;9 этажейКирпичное зданиеЦентральное отопление2,64 м потолки165 квартирГазЛифтМусоропровод
2089;"
 Коровинское ш., 8к4
 ";181357.7894736842;34755.7553606956;0.19164192208980804;True;Дом 1965 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейПанельное зданиеЦентральное отопление2,48 м потолки180 квартирГазЛифт отсутствуетМусоропровода нет
2090;"
 Люберцы, ул. Дружбы, 7/1
 ";0.0;0.0;0.0;False;"
 Люберцы, ул. Дружбы, 7/1
 ";"
 Люберцы, ул. Дружбы, 7/1
 "
2091;"
 Попутная ул., 5
 ";150622.85714285713;16861.78838954746;0.11194707569220401;True;Дом 1973 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки81 квартираГазЛифтМусоропровод
2092;"
 пр-т Мира, 184к2
 ";240438.2;47479.38300789091;0.19747021483229749;True;Дом 1968 года;25 этажейПанельное зданиеЦентральное отопление2,60 м потолки480 квартирГаза нетЛифтМусоропровод
2093;"
 ул. Молостовых, 19к3
 ";151689.8076923077;21640.018663825365;0.14265967498436447;True;Дом 1973 года;9 этажейПанельное зданиеЦентральное отопление2,60 м потолки144 квартирыГазЛифтМусоропровод
2094;"
 ул. Плещеева, 16
 ";166540.1;24200.09157916556;0.14531089857136845;True;Дом 1981 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки325 квартирГаза нетЛифтМусоропровод
